Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-06-10;2018-06-08;Płatność kartą;-20.24;PLN;Lokalizacja:  PIASECZNO   AUTO SPORT
2018-06-11;2018-06-09;Płatność kartą;-50;PLN;Lokalizacja:     DOMINIKANIE KLASZTOR
2018-06-11;2018-06-09;Płatność kartą;-7.3;PLN;Lokalizacja:     BETTI BEATA SOKOL
2018-06-12;2018-06-11;Płatność kartą;-6;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-06-13;2018-06-12;Płatność kartą;-11;PLN;Lokalizacja:     BACOWKA TOWARY TRADY 04
2018-06-13;2018-06-11;Płatność kartą;-6.2;PLN;Lokalizacja:     Top Market
2018-06-14;2018-06-13;Płatność kartą;-6.29;PLN;Lokalizacja:     RELAY 35
2018-06-14;2018-06-12;Płatność kartą;-20.45;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-14;2018-06-12;Płatność kartą;-8.5;PLN;Lokalizacja:     Top Market
2018-06-15;2018-06-14;Płatność kartą;-7.49;PLN;Lokalizacja:     ROSSMANN 120
2018-06-15;2018-06-14;Płatność kartą;-67.97;PLN;Lokalizacja:     Euro-Apteka A81 01
2018-06-16;2018-06-14;Płatność kartą;-8.47;PLN;Lokalizacja:     TESCO GOCLAW 144
2018-06-16;2018-06-14;Płatność kartą;-17.22;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-17;2018-06-16;Płatność kartą;-8.45;PLN;Lokalizacja:     Leroy Merlin   O
2018-06-17;2018-06-17;Opłata;-0.7;PLN;
2018-06-19;2018-06-18;Płatność kartą;-0.21;PLN;Lokalizacja:     BACOWKA TOWARY TRADY 04
2018-06-19;2018-06-18;Płatność kartą;-11.5;PLN;Lokalizacja:     BACOWKA TOWARY TRADY 04
2018-06-20;2018-06-19;Płatność kartą;-23.5;PLN;Lokalizacja:     BACOWKA TOWARY TRADY 04
2018-06-20;2018-06-18;Płatność kartą;-0.76;PLN;Lokalizacja:     ZABKA Z5902 K.1
2018-06-20;2018-06-18;Płatność kartą;-8.94;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-20;2018-06-18;Płatność kartą;-2.6;PLN;Lokalizacja:     CARREFOUR EXPRESS E57
2018-06-21;2018-06-20;Płatność kartą;-28.47;PLN;Lokalizacja:     BACOWKA TOWARY TRADY 04
2018-06-22;2018-06-20;Płatność kartą;-238.89;PLN;Lokalizacja:     MARKET OBI 017 MB KASA
2018-06-22;2018-06-20;Płatność kartą;-0.99;PLN;Lokalizacja:     MARKET OBI 017 MB KASA
2018-06-22;2018-06-20;Płatność kartą;-262.76;PLN;Lokalizacja:     MARKET OBI 017 MB KASA
2018-06-22;2018-06-20;Płatność kartą;-22.7;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-23;2018-06-21;Płatność kartą;-43.96;PLN;Lokalizacja:     MARKET OBI 017 MB KASA
2018-06-26;2018-06-25;Płatność kartą;-10.5;PLN;Lokalizacja:     VITAMARKET
2018-06-27;2018-06-25;Płatność kartą;-10.15;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-06-27;2018-06-25;Płatność kartą;-10.44;PLN;Lokalizacja:     APTEKA
2018-06-28;2018-06-27;Płatność kartą;-13;PLN;Lokalizacja:     Pelna Chata
2018-06-29;2018-06-30;Opłata;-6.9;PLN;
2018-06-29;2018-06-28;Płatność kartą;-111.56;PLN;Lokalizacja:     ORLEN 35
2018-06-29;2018-06-27;Płatność kartą;-5.2;PLN;Lokalizacja:     KONSTRUKTORSKA 10 C
2018-06-29;2018-06-27;Płatność kartą;-3.45;PLN;Lokalizacja:     KONSTRUKTORSKA 10 C
2018-06-29;2018-06-27;Płatność kartą;-31.25;PLN;Lokalizacja:     FIVE O CLOCK ARKADIA
2018-07-01;2018-06-30;Płatność kartą;-7;PLN;Lokalizacja:  Elk  PAPAJA MARTA PETER
2018-07-01;2018-06-29;Płatność kartą;-11.15;PLN;Lokalizacja:     Top Market
2018-07-01;2018-06-29;Płatność kartą;-51.8;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-07-01;2018-06-29;Płatność kartą;-15.6;PLN;Lokalizacja:     Carte Dor Cafe
2018-07-02;2018-07-02;Opłata;-0.7;PLN;
2018-07-02;2018-07-01;Płatność kartą;-80.02;PLN;Lokalizacja:  Brok  ORLEN DOFO
2018-07-04;2018-07-03;Płatność kartą;-14.5;PLN;Lokalizacja:  Zakopane  McDonalds 01
2018-07-04;2018-07-02;Płatność kartą;-0.21;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-05;2018-07-03;Płatność kartą;-2.49;PLN;Lokalizacja:     RUCH 560557
2018-07-05;2018-07-03;Płatność kartą;-45.42;PLN;Lokalizacja:  ZAKOPANE  JMP S.A. BIEDRONKA 1663
2018-07-06;2018-07-04;Płatność kartą;-21.77;PLN;Lokalizacja:  ZAKOPANE  JMP S.A. BIEDRONKA 1663
2018-07-08;2018-07-06;Płatność kartą;-30.46;PLN;Lokalizacja:  Raszyn  IKEA Retail Sp. z o. 01
2018-07-08;2018-07-06;Płatność kartą;-3.5;PLN;Lokalizacja:     AUCHAN Ursynow
2018-07-08;2018-07-06;Płatność kartą;-20.99;PLN;Lokalizacja:     MARKET OBI 017 MB KASA
2018-07-09;2018-07-07;Płatność kartą;-58;PLN;Lokalizacja:  Otwock  M-KWADRAT Pub Restaurac
2018-07-09;2018-07-07;Płatność kartą;-25.48;PLN;Lokalizacja:  Otwock  CEFARM-  S.A. 03
2018-07-09;2018-07-07;Płatność kartą;-2.69;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-09;2018-07-07;Płatność kartą;-12.9;PLN;Lokalizacja:     SKLEP MAK MARYLA KOSECKA
2018-07-09;2018-07-07;Płatność kartą;-27.99;PLN;Lokalizacja:     MISINPEX MEDIC APTEKA
2018-07-11;2018-07-11;Opłata;-0.7;PLN;
2018-07-11;2018-07-11;Opłata;-0.7;PLN;
2018-07-11;2018-07-10;Płatność kartą;-25.1;PLN;Lokalizacja:     Leroy Merlin   A
2018-07-11;2018-07-09;Płatność kartą;-15.45;PLN;Lokalizacja:     Top Market
2018-07-12;2018-07-11;Płatność kartą;-104.84;PLN;Lokalizacja:     ORLEN 38
2018-07-12;2018-07-11;Płatność kartą;-66.99;PLN;Lokalizacja:  Raszyn  IKEA Retail Sp. z o.o.-
2018-07-12;2018-07-10;Płatność kartą;-79;PLN;Lokalizacja:     PIZZERIA PIECZYCHLEBEK
2018-07-13;2018-07-12;Płatność kartą;-62.61;PLN;Lokalizacja:     Leroy Merlin   A
2018-07-13;2018-07-11;Płatność kartą;-199;PLN;Lokalizacja:     SP   I ARKADIA
2018-07-13;2018-07-11;Płatność kartą;-6;PLN;Lokalizacja:     LODZIARNIE FIRMOWE SP
2018-07-13;2018-07-11;Płatność kartą;-12.39;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-13;2018-07-11;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-07-14;2018-07-13;Płatność kartą;-8.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-07-14;2018-07-12;Płatność kartą;-10.41;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-14;2018-07-12;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-07-14;2018-07-12;Płatność kartą;-23.9;PLN;Lokalizacja:     BAR WIKING
2018-07-15;2018-07-13;Płatność kartą;-0.35;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-15;2018-07-13;Płatność kartą;-2.7;PLN;Lokalizacja:     Top Market
2018-07-15;2018-07-13;Płatność kartą;-140.99;PLN;Lokalizacja:     GO SPORT 233
2018-07-17;2018-07-16;Płatność kartą;-90;PLN;Lokalizacja:     MARSZALKOWSKA 140 R. KO
2018-07-18;2018-07-16;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-07-19;2018-07-18;Płatność kartą;-111.43;PLN;Lokalizacja:  Wilga  ORLEN
2018-07-19;2018-07-18;Płatność kartą;-8.5;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-07-20;2018-07-18;Płatność kartą;-4.65;PLN;Lokalizacja:     Top Market
2018-07-21;2018-07-20;Płatność kartą;-30.97;PLN;Lokalizacja:  Raszyn  IKEA Retail Sp. z o. 01
2018-07-21;2018-07-19;Płatność kartą;-21.45;PLN;Lokalizacja:     Top Market
2018-07-21;2018-07-19;Płatność kartą;-10.48;PLN;Lokalizacja:     CARREFOUR HIPERMARKET
2018-07-22;2018-07-21;Płatność kartą;-24.98;PLN;Lokalizacja:     ROSSMANN 120
2018-07-23;2018-07-22;Płatność kartą;-135.36;PLN;Lokalizacja:  k/Holendry Ba  ORLEN
2018-07-23;2018-07-21;Płatność kartą;-10.57;PLN;Lokalizacja:     PRIM
2018-07-23;2018-07-21;Płatność kartą;-16;PLN;Lokalizacja:     Pracownia Cukiern45994
2018-07-25;2018-07-23;Płatność kartą;-7.3;PLN;Lokalizacja:     Top Market
2018-07-26;2018-07-25;Płatność kartą;-16.83;PLN;Lokalizacja:  Piaseczno  RESTAURACJA OLIMP
2018-07-26;2018-07-24;Płatność kartą;-13.75;PLN;Lokalizacja:     GROSS BLISKO CIEBIE
2018-07-27;2018-07-26;Płatność kartą;-40.98;PLN;Lokalizacja:     Leroy Merlin   A
2018-07-27;2018-07-26;Płatność kartą;-3.5;PLN;Lokalizacja:     Carte dor Cafe
2018-07-27;2018-07-26;Płatność kartą;-160.97;PLN;Lokalizacja:     CCC 09
2018-07-27;2018-07-26;Płatność kartą;-5.5;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-07-27;2018-07-25;Płatność kartą;-10.17;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-07-28;2018-07-27;Płatność kartą;-10.7;PLN;Lokalizacja:     McDonalds 05
2018-07-28;2018-07-27;Płatność kartą;-10.7;PLN;Lokalizacja:     McDonalds 07
2018-07-28;2018-07-26;Płatność kartą;-5.05;PLN;Lokalizacja:     Top Market
2018-07-29;2018-07-28;Płatność kartą;-50;PLN;Lokalizacja:     CIAO A TUTTI DUE
2018-07-29;2018-07-27;Płatność kartą;-3.4;PLN;Lokalizacja:     MPSA - A 473
2018-07-29;2018-07-27;Płatność kartą;-16.58;PLN;Lokalizacja:  PIASECZNO   AUTO SPORT
2018-07-29;2018-07-27;Płatność kartą;-17.94;PLN;Lokalizacja:     CARREFOUR HIPERMARKET
2018-07-30;2018-07-28;Płatność kartą;-7;PLN;Lokalizacja:     KWIACIARNIA
2018-07-31;2018-07-31;Opłata;-6.9;PLN;
2018-08-02;2018-07-31;Płatność kartą;-1.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-4.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-02;2018-07-31;Płatność kartą;-4.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-08-03;2018-08-02;Płatność kartą;-41;PLN;Lokalizacja:  Orzysz  RESTAURACJA OASIS 01
2018-08-04;2018-08-03;Płatność kartą;-23.5;PLN;Lokalizacja:  Elk  ORLEN DOFO
2018-08-04;2018-08-02;Płatność kartą;-10.96;PLN;Lokalizacja:  ELK  APTEKA OSAK
2018-08-05;2018-08-04;Płatność kartą;-100.31;PLN;Lokalizacja:  Elk  ORLEN 01
2018-08-05;2018-08-04;Płatność kartą;-13.96;PLN;Lokalizacja:  Elk  Sklep Firmowy Karmel 04
2018-08-05;2018-08-03;Płatność kartą;-24;PLN;Lokalizacja:  Elk  Restauracja Miedzy Wier
2018-08-06;2018-08-05;Płatność kartą;-13.3;PLN;Lokalizacja:     McDonalds
2018-08-08;2018-08-07;Płatność kartą;-112.31;PLN;Lokalizacja:  Turzyn  ORLEN DOFO
2018-08-08;2018-08-06;Płatność kartą;-280;PLN;Lokalizacja:     MPSA - A 316
2018-08-08;2018-08-06;Płatność kartą;-21.29;PLN;Lokalizacja:     GROSS BLISKO CIEBIE
2018-08-08;2018-08-06;Płatność kartą;-11.9;PLN;Lokalizacja:     APTEKA
2018-08-08;2018-08-06;Płatność kartą;-13.47;PLN;Lokalizacja:     ZABKA Z4548 K.1
2018-08-09;2018-08-08;Płatność kartą;-14;PLN;Lokalizacja:     McDonalds 464  
2018-08-09;2018-08-07;Płatność kartą;-4.99;PLN;Lokalizacja:  Kolno  ORLEN
2018-08-10;2018-08-09;Płatność kartą;-45;PLN;Lokalizacja:     BOBBY BURGER 06
2018-08-10;2018-08-08;Płatność kartą;-80;PLN;Lokalizacja:     TEATR KWADRAT W WARSZAWIE
2018-08-10;2018-08-08;Płatność kartą;-4;PLN;Lokalizacja:     Kebab Bajka
2018-08-11;2018-08-10;Płatność kartą;-115.46;PLN;Lokalizacja:  Przeszkoda  ORLEN DOFO
2018-08-11;2018-08-09;Płatność kartą;-7.32;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-08-11;2018-08-09;Płatność kartą;-6.46;PLN;Lokalizacja:     ZABKA Z4322 K.1
2018-08-11;2018-08-10;Płatność kartą;-21.4;PLN;Lokalizacja:  Mszczonow  McDonalds 333 MOP Wymys
2018-08-13;2018-08-11;Płatność kartą;-8.86;PLN;Lokalizacja:     CARREFOUR EXPRESS R36
2018-08-15;2018-08-14;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 464  
2018-08-15;2018-08-14;Płatność kartą;-200;PLN;Lokalizacja:     MD CLINIC Przychodnia W
2018-08-16;2018-08-15;Płatność kartą;-215.11;PLN;Lokalizacja:     ORLEN 01
2018-08-16;2018-08-14;Płatność kartą;-3.48;PLN;Lokalizacja:     CARREFOUR EXPRESS R36
2018-08-19;2018-08-18;Płatność kartą;-113.17;PLN;Lokalizacja:  Wroclaw  ORLEN 21
2018-08-20;2018-08-19;Płatność kartą;-0.18;PLN;Lokalizacja:  Michalowice  ORLEN 01
2018-08-20;2018-08-18;Płatność kartą;-13.67;PLN;Lokalizacja: Kraj: HOLANDIA Miasto: help.uber.com  UBER TRIP SBK2C HELP.UBER
2018-08-20;2018-08-18;Płatność kartą;-17.35;PLN;Lokalizacja: Kraj: HOLANDIA Miasto: help.uber.com  UBER TRIP FE6Y2 HELP.UBER
2018-08-20;2018-08-18;Płatność kartą;-40.43;PLN;Lokalizacja:  BISKUPICE  LOTOS SF814 K.2
2018-08-20;2018-08-18;Płatność kartą;-24;PLN;Lokalizacja:  Wroclaw  KARCZMA LWA Barba 3922
2018-08-20;2018-08-18;Płatność kartą;-23.7;PLN;Lokalizacja:  ZDUNSKA WOLA  BAR MLECZNY JEDYNAK
2018-08-20;2018-08-18;Płatność kartą;-26;PLN;Lokalizacja:  Wroclaw  Budimex Parking Wroclaw
2018-08-21;2018-08-19;Płatność kartą;-215;PLN;Lokalizacja:  WROCLAW  HASTON CITY HOTEL
2018-08-21;2018-08-19;Płatność kartą;-58;PLN;Lokalizacja:  Wroclaw  Aquapark Wroclaw
2018-08-22;2018-08-20;Płatność kartą;-76.79;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 4378
2018-08-22;2018-08-20;Płatność kartą;-0.6;PLN;Lokalizacja:     Top Market
2018-08-23;2018-08-21;Płatność kartą;-2.59;PLN;Lokalizacja:     ZABKA Z5048 K.1
2018-08-25;2018-08-24;Płatność kartą;-269;PLN;Lokalizacja:     Leroy Merlin   A
2018-08-25;2018-08-23;Płatność kartą;-4.8;PLN;Lokalizacja:     Top Market
2018-08-26;2018-08-25;Płatność kartą;-50.01;PLN;Lokalizacja:     ORLEN 47
2018-08-26;2018-08-24;Płatność kartą;-8.03;PLN;Lokalizacja:     ZABKA Z5048 K.1
2018-08-26;2018-08-24;Płatność kartą;-15.95;PLN;Lokalizacja:     SKLEP SPOZYWCZY
2018-08-26;2018-08-24;Płatność kartą;-7.43;PLN;Lokalizacja:     ML COMPANY / Raclawicka
2018-08-27;2018-08-25;Płatność kartą;-92.04;PLN;Lokalizacja:     TESCO KEN 18 KASA
2018-08-31;2018-08-31;Opłata;-6.9;PLN;
2018-09-01;2018-08-30;Płatność kartą;-10.95;PLN;Lokalizacja:     Top Market
2018-09-01;2018-08-30;Płatność kartą;-33.98;PLN;Lokalizacja:     QLT Restaurant Nowy Swi
2018-09-02;2018-08-31;Płatność kartą;-43.25;PLN;Lokalizacja:     TESCO KEN KASA 145
2018-09-02;2018-08-31;Płatność kartą;-69;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Play Ap
2018-09-03;2018-09-03;Opłata;-0.7;PLN;
2018-09-03;2018-09-02;Płatność kartą;-97.61;PLN;Lokalizacja:  Glinianka  ORLEN 01
2018-09-05;2018-09-03;Płatność kartą;-5.43;PLN;Lokalizacja:     Top Market
2018-09-05;2018-09-03;Płatność kartą;-12.85;PLN;Lokalizacja:     ZABKA Z4548 K.1
2018-09-05;2018-09-03;Płatność kartą;-34.99;PLN;Lokalizacja: Kraj: STANY ZJEDNOCZONE AMERYKI Miasto: HTTPSWWW.UDEM  UDEMY ONLINE COURSES
2018-09-06;2018-09-04;Płatność kartą;-5.08;PLN;Lokalizacja:     TESCO KEN 8 KASA
2018-09-06;2018-09-04;Płatność kartą;-11.65;PLN;Lokalizacja:     Top Market
2018-09-08;2018-09-06;Płatność kartą;-27.99;PLN;Lokalizacja:     INTERSPORT POLSKA S.A.
2018-09-09;2018-09-07;Płatność kartą;-10.7;PLN;Lokalizacja:     Top Market
2018-09-09;2018-09-07;Płatność kartą;-2.98;PLN;Lokalizacja:  ELK  JMP S.A. BIEDRONKA 1956
2018-09-10;2018-09-09;Płatność kartą;-4.99;PLN;Lokalizacja:  Lomza  ORLEN DOFO 01
2018-09-10;2018-09-09;Płatność kartą;-81.41;PLN;Lokalizacja:  ELK  ORLEN 04
2018-09-11;2018-09-10;Płatność kartą;-11.5;PLN;Lokalizacja:     McDonalds 07
2018-09-11;2018-09-10;Płatność kartą;-20.99;PLN;Lokalizacja:     Leroy Merlin   A
2018-09-11;2018-09-10;Płatność kartą;-13;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-09-12;2018-09-11;Płatność kartą;-200;PLN;Lokalizacja:     MD CLINIC Przychodnia W
2018-09-12;2018-09-10;Płatność kartą;-6.1;PLN;Lokalizacja:     Top Market
2018-09-13;2018-09-12;Płatność kartą;-20.8;PLN;Lokalizacja:     Multikino Ursynow 01
2018-09-13;2018-09-11;Płatność kartą;-11.49;PLN;Lokalizacja:     Top Market
2018-09-14;2018-09-13;Płatność kartą;-90.99;PLN;Lokalizacja:  Piaseczno  DECATHLON Piaseczno
2018-09-14;2018-09-12;Płatność kartą;-12;PLN;Lokalizacja:     SPOLEM WSS ZOLIBORZ
2018-09-15;2018-09-13;Płatność kartą;-5.75;PLN;Lokalizacja:     MOKPOL SKLEP NR 50
2018-09-15;2018-09-13;Płatność kartą;-7.44;PLN;Lokalizacja:     Top Market
2018-09-15;2018-09-13;Płatność kartą;-6.8;PLN;Lokalizacja:     MPSA - A 398
2018-09-16;2018-09-14;Płatność kartą;-11.1;PLN;Lokalizacja:     CUKIERNIA U JABLONOWSKICH
2018-09-16;2018-09-14;Płatność kartą;-6.7;PLN;Lokalizacja:     Top Market
2018-09-16;2018-09-14;Płatność kartą;-13;PLN;Lokalizacja:     GRYCAN LODY OD POKOLEN
2018-09-17;2018-09-15;Płatność kartą;-8.2;PLN;Lokalizacja:     SKLEP SPOZYWCZY
2018-09-19;2018-09-18;Płatność kartą;-12;PLN;Lokalizacja:  Brzesc Kujaws  McDonalds 509 MOP MACHN
2018-09-19;2018-09-17;Płatność kartą;-13.03;PLN;Lokalizacja:     ZABKA Z5048 K.1
2018-09-19;2018-09-17;Płatność kartą;-15.35;PLN;Lokalizacja:     TESCO KEN KASA 142
2018-09-20;2018-09-19;Płatność kartą;-12;PLN;Lokalizacja:  Chojnice  McDonalds 229 Chojnice
2018-09-20;2018-09-19;Płatność kartą;-7.68;PLN;Lokalizacja:  BYTOW  ORLEN 02
2018-09-20;2018-09-19;Płatność kartą;-30.13;PLN;Lokalizacja:  Chojnice  LIDL BYTOWSKA
2018-09-21;2018-09-19;Płatność kartą;-19;PLN;Lokalizacja:  Poznan  P.H.U You & Me To47136
2018-09-23;2018-09-22;Płatność kartą;-50.76;PLN;Lokalizacja:  TARCZYN  ORLEN 04
2018-09-23;2018-09-22;Płatność kartą;-114.88;PLN;Lokalizacja:     AUCHAN Ursynow
2018-09-23;2018-09-21;Płatność kartą;-15.14;PLN;Lokalizacja:     Top Market
2018-09-25;2018-09-23;Płatność kartą;-4.99;PLN;Lokalizacja:  ILZA  ORLEN 01
2018-09-26;2018-09-25;Płatność kartą;-7.8;PLN;Lokalizacja:    (Urs  Poczta Polska 01
2018-09-26;2018-09-24;Płatność kartą;-10.59;PLN;Lokalizacja:     Top Market
2018-09-27;2018-09-25;Płatność kartą;-12.97;PLN;Lokalizacja:     SPOLEM WSS ZOLIBORZ
2018-09-28;2018-09-30;Opłata;-6.9;PLN;
2018-09-28;2018-09-27;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 464  
2018-09-28;2018-09-26;Płatność kartą;-5.28;PLN;Lokalizacja:     SPOLEM WSS ZOLIBORZ
2018-09-30;2018-09-29;Płatność kartą;-57.76;PLN;Lokalizacja:     PIEKARNIA WAROWNY SC
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-0.99;PLN;Lokalizacja:     ZABKA Z5048 K.1
2018-09-30;2018-09-28;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-4.8;PLN;Lokalizacja:     SKLEP SPOZYWCZY
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-3.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-09-30;2018-09-28;Płatność kartą;-2.99;PLN;Lokalizacja: Kraj: WIELKA BRYTANIA Miasto: g.co/helppay#  GOOGLE *Google Music
2018-10-02;2018-10-01;Płatność kartą;-11.8;PLN;Lokalizacja:     McDonalds 41
2018-10-02;2018-10-01;Płatność kartą;-8.5;PLN;Lokalizacja:     McCafe
2018-10-02;2018-09-30;Płatność kartą;-0.98;PLN;Lokalizacja:  GLINIANKA  ORLEN 02
2018-10-03;2018-10-03;Opłata;-0.7;PLN;
2018-10-04;2018-10-02;Płatność kartą;-11.84;PLN;Lokalizacja:     Top Market
2018-10-04;2018-10-04;Opłata;-0.7;PLN;
2018-10-06;2018-10-04;Płatność kartą;-6.84;PLN;Lokalizacja:     Top Market
2018-10-07;2018-10-05;Płatność kartą;-150;PLN;Lokalizacja:     IMPLANT ART
2018-10-08;2018-10-06;Płatność kartą;-26.96;PLN;Lokalizacja:  WARZAWA  EXPRESS MARCHE ZLOTE TARA
2018-10-08;2018-10-06;Płatność kartą;-0.98;PLN;Lokalizacja:     CARREFOUR EXPRESS E24
2018-10-09;2018-10-07;Płatność kartą;-107.35;PLN;Lokalizacja:     ORLEN 89
2018-10-09;2018-10-07;Płatność kartą;-17.74;PLN;Lokalizacja:     TESCO KEN 10 KASA
2018-10-09;2018-10-07;Płatność kartą;-13.74;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 4378
2018-10-10;2018-10-08;Płatność kartą;-5.7;PLN;Lokalizacja:     Top Market
2018-10-11;2018-10-09;Płatność kartą;-8.95;PLN;Lokalizacja:     Top Market
2018-10-11;2018-10-09;Płatność kartą;-4.14;PLN;Lokalizacja:     BELGRADZKA 46
2018-10-12;2018-10-11;Płatność kartą;-10.5;PLN;Lokalizacja:     MCDONALD'S 217 W-WA 28
2018-10-12;2018-10-10;Płatność kartą;-10.16;PLN;Lokalizacja:     Top Market
2018-10-13;2018-10-12;Płatność kartą;-20.9;PLN;Lokalizacja:     XGSM Maciej Pograniczny
2018-10-13;2018-10-11;Płatność kartą;-16.81;PLN;Lokalizacja:     ZABKA Z4548 K.1
2018-10-13;2018-10-10;Płatność kartą;-500;PLN;Lokalizacja:     IMPLANT ART
2018-10-14;2018-10-12;Płatność kartą;-0.57;PLN;Lokalizacja:     ZABKA Z4647 K.1
2018-10-14;2018-10-12;Płatność kartą;-12.4;PLN;Lokalizacja:     SPOLEM WSS ZOLIBORZ
2018-10-15;2018-10-14;Płatność kartą;-103.76;PLN;Lokalizacja:  PROSIENICA  ORLEN 01
